id,name,location,address,opening_time,closing_time,dine_in,delivery,pickup
57,ZUS Coffee – Central I-City,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
58,ZUS Coffee – Taman Sri Muda,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
59,"ZUS Coffee – Alam Avenue 2, Shah Alam Seksyen 16",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
60,ZUS Coffee – Kuchai Entrepreneurs Park,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
61,"ZUS Coffee – Jalil Link 1, Bukit Jalil",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
62,ZUS Coffee – Menara Technip Energies,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
63,"ZUS Coffee – Jakel Mall, Kuala Lumpur",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
64,"ZUS Coffee – Anggun City, Rawang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
65,"ZUS Coffee – Olive Business Park, Seri Kembangan",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
66,ZUS Coffee – Bukit Tinggi 1,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
67,ZUS Coffee – CALTEX Eco Ardence,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
68,"ZUS Coffee – Jalan Seri Mas 1, Hulu Langat",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
69,ZUS Coffee – Pekan Semenyih,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
70,ZUS Coffee – Solaris Mont Kiara,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
71,"ZUS Coffee – Cyberview 23A, Cyberjaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
72,ZUS Coffee – Monash University Malaysia,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
73,ZUS Coffee – Semua House,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
74,ZUS Coffee – Southville City,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
75,ZUS Coffee – Sekinchan,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
76,ZUS Coffee – Kompleks PKNS Shah Alam,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
77,ZUS Coffee – Shah Alam Seksyen 18,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
78,ZUS Coffee – SAMA Square,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
79,ZUS Coffee – GM Klang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
80,"ZUS Coffee – Prima Saujana, Kajang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
81,ZUS Coffee – AEON Mall Bukit Tinggi,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
